_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T1) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T1) <- Ease_economic_sanctions,_boycott,_embargo(X0,X1,T0)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T2) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Sign_formal_agreement(X0,X1,T1)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T2) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Engage_in_diplomatic_cooperation(X0,X1,T1)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T2) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Consult(X0,X1,T1)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_cooperate(X0,X1,T0), Host_a_visit(X1,X0,T1), Engage_in_diplomatic_cooperation(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Make_a_visit(X0,X1,T0), Consult(X1,X2,T1), _Express_intent_to_cooperate(X2,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_engage_in_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Consult(X1,X2,T1), _Express_intent_to_cooperate(X2,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Grant_diplomatic_recognition(X0,X1,T0), Engage_in_diplomatic_cooperation(X0,X1,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Appeal_for_de-escalation_of_military_engagement(X0,X1,T0), Declare_truce,_ceasefire(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_de-escalate_military_engagement(X0,X1,T0), Demobilize_armed_forces(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Appeal_for_de-escalation_of_military_engagement(X0,X1,T0), Cooperate_militarily(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_de-escalate_military_engagement(X0,X1,T0), Cooperate_militarily(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_de-escalate_military_engagement(X0,X1,T0), Share_intelligence_or_information(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Appeal_for_easing_of_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Make_an_appeal_or_request(X0,X1,T0), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Engage_in_diplomatic_cooperation(X0,X1,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Appeal_for_rights(X0,X1,T0), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Appeal_for_release_of_persons_or_property(X0,X1,T0), Return,_release_person(s)(X1,X0,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Make_statement(X0,X1,T0), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Make_optimistic_comment(X0,X1,T0), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Make_empathetic_comment(X0,X1,T0), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Defend_verbally(X0,X1,T0), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- Discuss_by_telephone(X0,X1,T0), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T1), Sign_formal_agreement(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X3,T3) <- _Express_intent_to_accept_mediation(X0,X1,T0), Mediate(X1,X2,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X2,X3,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X3,T3) <- Appeal_to_others_to_settle_dispute(X0,X1,T0), Mediate(X1,X2,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X2,X3,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X3,T3) <- Express_intent_to_mediate(X0,X1,T0), Mediate(X1,X2,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X2,X3,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X3,T3) <- _Express_intent_to_accept_mediation(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X2,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X2,X3,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X3,T3) <- Appeal_to_engage_in_or_accept_mediation(X0,X1,T0), Mediate(X1,X2,T1), _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X2,X3,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Accede_to_demands_for_change_in_leadership(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Accede_to_demands_for_change_in_institutions,_regime(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Accede_to_requests_or_demands_for_political_reform(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Express_intent_to_institute_political_reform(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
_Ease_economic_sanctions,_boycott,_embargo(X0,X1,T3) <- _Express_intent_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Express_intent_to_change_policy(X1,X0,T1), Express_intent_to_cooperate(X0,X1,T2)
