Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Express_intent_to_cooperate(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Sign_formal_agreement(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Engage_in_judicial_cooperation(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Appeal_for_judicial_cooperation(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X1,T1) <- Demand_judicial_cooperation(X0,X1,T0)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- Threaten(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- fight_with_artillery_and_tanks(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X2,T2) <- Condemn(X0,X1,T0), Express_intent_to_cooperate(X1,X2,T1)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Accuse_of_espionage,_treason(X0,X1,T0), Criticize_or_denounce(X1,X2,T1), Host_a_visit(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Use_conventional_military_force(X0,X1,T0), Appeal_for_judicial_cooperation(X1,X2,T1), Sign_formal_agreement(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Investigate_human_rights_abuses(X0,X1,T0), Share_intelligence_or_information(X1,X2,T1), Engage_in_judicial_cooperation(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Impose_administrative_sanctions(X0,X1,T0), Ease_administrative_sanctions(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Threaten_with_military_force(X0,X1,T0), Demand_judicial_cooperation(X1,X2,T1), Sign_formal_agreement(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- fight_with_artillery_and_tanks(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Host_a_visit(X0,X1,T0), Discuss_by_telephone(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Make_empathetic_comment(X0,X1,T0), Appeal_for_judicial_cooperation(X1,X2,T1), Sign_formal_agreement(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Reject_plan,_agreement_to_settle_dispute(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Bring_lawsuit_against(X0,X1,T0), Mediate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Confiscate_property(X0,X1,T0), Return,_release_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Detonate_nuclear_weapons(X0,X1,T0), Appeal_for_diplomatic_cooperation_(such_as_policy_support)(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Protest_violently,_riot(X0,X1,T0), Demand_release_of_persons_or_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Ban_political_parties_or_politicians(X0,X1,T0), Appeal_for_rights(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Expel_or_deport_individuals(X0,X1,T0), Appeal_for_release_of_persons_or_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Seize_or_damage_property(X0,X1,T0), Return,_release_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Torture(X0,X1,T0), Appeal_for_humanitarian_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Kill_by_physical_assault(X0,X1,T0), Appeal_for_release_of_persons_or_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Abduct,_hijack,_or_take_hostage(X0,X1,T0), Appeal_for_release_of_persons_or_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Assassinate(X0,X1,T0), Express_intent_to_yield(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Attempt_to_assassinate(X0,X1,T0), Express_intent_to_yield(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Accuse_of_war_crimes(X0,X1,T0), Make_an_appeal_or_request(X1,X2,T1), Sign_formal_agreement(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Investigate_crime,_corruption(X0,X1,T0), Share_intelligence_or_information(X1,X2,T1), Engage_in_judicial_cooperation(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_economic_aid(X0,X1,T0), Provide_economic_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_material_aid(X0,X1,T0), Provide_material_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_aid(X0,X1,T0), Provide_military_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_humanitarian_aid(X0,X1,T0), Provide_humanitarian_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_mediation(X0,X1,T0), Mediate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_settling_of_dispute(X0,X1,T0), Express_intent_to_settle_dispute(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_meeting,_negotiation(X0,X1,T0), Meet_at_a_'third'_location(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_policy_change(X0,X1,T0), Express_intent_to_change_policy(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_political_reform(X0,X1,T0), Express_intent_to_institute_political_reform(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_rights(X0,X1,T0), Appeal_for_rights(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_release_of_persons_or_property(X0,X1,T0), Return,_release_person(s)(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_that_target_yields(X0,X1,T0), Yield(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_easing_of_administrative_sanctions(X0,X1,T0), Ease_administrative_sanctions(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_easing_of_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Ease_economic_sanctions,_boycott,_embargo(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Engage_in_diplomatic_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_material_cooperation(X0,X1,T0), Engage_in_material_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_cooperation(X0,X1,T0), Cooperate_militarily(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_economic_cooperation(X0,X1,T0), Cooperate_economically(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_intelligence_cooperation(X0,X1,T0), Share_intelligence_or_information(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_judicial_cooperation(X0,X1,T0), Engage_in_judicial_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_de-escalation_of_military_engagement(X0,X1,T0), Express_intent_to_de-escalate_military_engagement(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_leadership(X0,X1,T0), Express_intent_to_change_leadership(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_institutions,_regime(X0,X1,T0), Express_intent_to_change_institutions,_regime(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_policy(X0,X1,T0), Express_intent_to_change_policy(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_economic_aid(X0,X1,T0), Express_intent_to_provide_economic_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_material_aid(X0,X1,T0), Express_intent_to_provide_material_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_aid(X0,X1,T0), Express_intent_to_provide_military_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_protection_or_peacekeeping(X0,X1,T0), Provide_military_protection_or_peacekeeping(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_humanitarian_aid(X0,X1,T0), Express_intent_to_provide_humanitarian_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_release_of_persons_or_property(X0,X1,T0), Express_intent_to_release_persons_or_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_settling_of_dispute(X0,X1,T0), Express_intent_to_settle_dispute(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_mediation(X0,X1,T0), Express_intent_to_mediate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_meeting,_negotiation(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_policy_change(X0,X1,T0), Express_intent_to_change_policy(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_political_reform(X0,X1,T0), Express_intent_to_institute_political_reform(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_rights(X0,X1,T0), Appeal_for_rights(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_release_of_persons_or_property(X0,X1,T0), Return,_release_person(s)(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_that_target_yields(X0,X1,T0), Yield(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_easing_of_administrative_sanctions(X0,X1,T0), Ease_administrative_sanctions(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_easing_of_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Ease_economic_sanctions,_boycott,_embargo(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Engage_in_diplomatic_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_material_cooperation(X0,X1,T0), Engage_in_material_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_cooperation(X0,X1,T0), Cooperate_militarily(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_economic_cooperation(X0,X1,T0), Cooperate_economically(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_intelligence_cooperation(X0,X1,T0), Share_intelligence_or_information(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_judicial_cooperation(X0,X1,T0), Engage_in_judicial_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_de-escalation_of_military_engagement(X0,X1,T0), Express_intent_to_de-escalate_military_engagement(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_leadership(X0,X1,T0), Express_intent_to_change_leadership(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_institutions,_regime(X0,X1,T0), Express_intent_to_change_institutions,_regime(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_policy(X0,X1,T0), Express_intent_to_change_policy(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_economic_aid(X0,X1,T0), Express_intent_to_provide_economic_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_material_aid(X0,X1,T0), Express_intent_to_provide_material_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_aid(X0,X1,T0), Express_intent_to_provide_military_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_protection_or_peacekeeping(X0,X1,T0), Provide_military_protection_or_peacekeeping(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_humanitarian_aid(X0,X1,T0), Express_intent_to_provide_humanitarian_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_release_of_persons_or_property(X0,X1,T0), Express_intent_to_release_persons_or_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_settling_of_dispute(X0,X1,T0), Express_intent_to_settle_dispute(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_mediation(X0,X1,T0), Express_intent_to_mediate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_meeting,_negotiation(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_policy_change(X0,X1,T0), Express_intent_to_change_policy(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_political_reform(X0,X1,T0), Express_intent_to_institute_political_reform(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_rights(X0,X1,T0), Appeal_for_rights(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_release_of_persons_or_property(X0,X1,T0), Return,_release_person(s)(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_that_target_yields(X0,X1,T0), Yield(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_easing_of_administrative_sanctions(X0,X1,T0), Ease_administrative_sanctions(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_easing_of_economic_sanctions,_boycott,_or_embargo(X0,X1,T0), Ease_economic_sanctions,_boycott,_embargo(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_diplomatic_cooperation_(such_as_policy_support)(X0,X1,T0), Engage_in_diplomatic_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_material_cooperation(X0,X1,T0), Engage_in_material_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_cooperation(X0,X1,T0), Cooperate_militarily(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_economic_cooperation(X0,X1,T0), Cooperate_economically(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_intelligence_cooperation(X0,X1,T0), Share_intelligence_or_information(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_judicial_cooperation(X0,X1,T0), Engage_in_judicial_cooperation(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_de-escalation_of_military_engagement(X0,X1,T0), Express_intent_to_de-escalate_military_engagement(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_leadership(X0,X1,T0), Express_intent_to_change_leadership(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_institutions,_regime(X0,X1,T0), Express_intent_to_change_institutions,_regime(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_change_in_policy(X0,X1,T0), Express_intent_to_change_policy(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_economic_aid(X0,X1,T0), Express_intent_to_provide_economic_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_material_aid(X0,X1,T0), Express_intent_to_provide_material_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_aid(X0,X1,T0), Express_intent_to_provide_military_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_military_protection_or_peacekeeping(X0,X1,T0), Provide_military_protection_or_peacekeeping(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_humanitarian_aid(X0,X1,T0), Express_intent_to_provide_humanitarian_aid(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_release_of_persons_or_property(X0,X1,T0), Express_intent_to_release_persons_or_property(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_settling_of_dispute(X0,X1,T0), Express_intent_to_settle_dispute(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_mediation(X0,X1,T0), Express_intent_to_mediate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_meeting,_negotiation(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_policy_change(X0,X1,T0), Express_intent_to_change_policy(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_political_reform(X0,X1,T0), Express_intent_to_institute_political_reform(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_rights(X0,X1,T0), Appeal_for_rights(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_release_of_persons_or_property(X0,X1,T0), Return,_release_person(s)(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
Express_intent_to_cooperate_on_judicial_matters(X0,X3,T3) <- Demand_that_target_yields(X0,X1,T0), Yield(X1,X2,T1), Express_intent_to_cooperate(X2,X3,T2)
