_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Consult(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Make_a_visit(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Host_a_visit(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Engage_in_negotiation(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_cooperate(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Discuss_by_telephone(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Mediate(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Sign_formal_agreement(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Yield(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Demand_meeting,_negotiation(X0,X1,T0).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Declare_truce,_ceasefire(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Halt_mediation(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Halt_negotiations(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Express_intent_to_accept_mediation(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Appeal_to_engage_in_or_accept_mediation(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Express_intent_to_settle_dispute(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Demand_settling_of_dispute(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Appeal_to_others_to_meet_or_negotiate(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Appeal_to_others_to_settle_dispute(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Express_intent_to_yield(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Demand_that_target_yields(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Reject_proposal_to_meet,_discuss,_or_negotiate(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Complain_officially(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Make_an_appeal_or_request(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Appeal_for_judicial_cooperation(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Engage_in_judicial_cooperation(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Engage_in_material_cooperation(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Express_intent_to_cooperate_on_judicial_matters(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Express_intent_to_cooperate_militarily(X1,X2,T1).
_Express_intent_to_meet_or_negotiate(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Express_intent_to_cooperate_economically(X1,X2,T1).
