_Threaten_non-force(X0,X1,T1) <- Give_ultimatum(X0,X1,T0).
_Threaten_non-force(X0,X1,T1) <- Threaten(X0,X1,T0).
_Threaten_non-force(X0,X1,T1) <- Threaten_non-force(X0,X1,T0).
_Threaten_non-force(X0,X2,T2) <- Demand_rights(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_political_reform(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_change_in_leadership(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_change_in_institutions,_regime(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_policy_change(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_settling_of_dispute(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_meeting,_negotiation(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_mediation(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_de-escalation_of_military_engagement(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_easing_of_administrative_sanctions(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_humanitarian_aid(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_intelligence_cooperation(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Demand_material_cooperation(X0,X1,T0), Reject(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Appeal_for_change_in_institutions,_regime(X0,X1,T0), Decline_comment(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Appeal_for_release_of_persons_or_property(X0,X1,T0), Decline_comment(X1,X0,T1).
_Threaten_non-force(X0,X2,T2) <- Appeal_for_economic_aid(X0,X1,T0), Decline_comment(X1,X0,T1).
