Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Reject(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Threaten_with_military_force(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Mobilize_or_increase_armed_forces(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Use_conventional_military_force(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Impose_embargo,_boycott,_or_sanctions(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Violate_ceasefire(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Refuse_to_yield(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Give_ultimatum(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Seize_or_damage_property(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Reject(X0,X1,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Make_a_visit(X0,X1,T0), Host_a_visit(X1,X0,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Engage_in_negotiation(X0,X1,T0), Halt_negotiations(X1,X0,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Consult(X0,X1,T0), Refuse_to_ease_economic_sanctions,_boycott,_or_embargo(X1,X0,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Express_intent_to_cooperate(X0,X1,T0), Reject_plan,_agreement_to_settle_dispute(X0,X1,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Sign_formal_agreement(X0,X1,T0), Violate_ceasefire(X1,X0,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Provide_humanitarian_aid(X0,X1,T0), Reduce_or_stop_humanitarian_assistance(X1,X0,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Share_intelligence_or_information(X0,X1,T0), Refuse_to_release_persons_or_property(X1,X0,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Appeal_to_others_to_meet_or_negotiate(X0,X1,T0), Reject_proposal_to_meet,_discuss,_or_negotiate(X1,X0,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T2) <- Demand(X0,X1,T0), Refuse_to_yield(X1,X0,T1)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Appeal_for_economic_aid(X0,X1,T0), Reduce_or_stop_economic_assistance(X1,X0,T1), Impose_embargo,_boycott,_or_sanctions(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Express_intent_to_meet_or_negotiate(X0,X1,T0), Express_intent_to_meet_or_negotiate(X1,X0,T1), Reject_proposal_to_meet,_discuss,_or_negotiate(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Make_an_appeal_or_request(X0,X1,T0), Complain_officially(X1,X0,T1), Threaten_with_military_force(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Sign_formal_agreement(X0,X1,T0), Violate_ceasefire(X1,X0,T1), Use_conventional_military_force(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Express_intent_to_cooperate_militarily(X0,X1,T0), Cooperate_militarily(X1,X0,T1), Refuse_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Demand_military_aid(X0,X1,T0), Reduce_or_stop_military_assistance(X1,X0,T1), Threaten_with_military_force(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Express_intent_to_provide_military_aid(X0,X1,T0), Provide_military_aid(X1,X0,T1), Refuse_to_yield(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Engage_in_symbolic_act(X0,X1,T0), Praise_or_endorse(X1,X0,T1), Reject(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Conduct_hunger_strike(X0,X1,T0), Complain_officially(X1,X0,T1), Refuse_to_release_persons_or_property(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Discuss_by_telephone(X0,X1,T0), Decline_comment(X1,X0,T1), Reject_proposal_to_meet,_discuss,_or_negotiate(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Mediate(X0,X1,T0), Halt_mediation(X1,X0,T1), Reject_plan,_agreement_to_settle_dispute(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Grant_diplomatic_recognition(X0,X1,T0), Reduce_relations(X1,X0,T1), Impose_restrictions_on_political_freedoms(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Receive_inspectors(X0,X1,T0), Investigate(X1,X0,T1), Refuse_to_ease_administrative_sanctions(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Yield(X0,X1,T0), Refuse_to_yield(X1,X0,T1), Threaten(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Express_intent_to_change_leadership(X0,X1,T0), Demand_change_in_leadership(X1,X0,T1), Refuse_to_release_persons_or_property(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Express_intent_to_change_policy(X0,X1,T0), Demand_policy_change(X1,X0,T1), Refuse_to_ease_economic_sanctions,_boycott,_or_embargo(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T3) <- Express_intent_to_cooperate_economically(X0,X1,T0), Cooperate_economically(X1,X0,T1), Reject_economic_cooperation(X0,X1,T2)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Confiscate_property(X0,X1,T0)
Reject_plan,_agreement_to_settle_dispute(X0,X1,T1) <- Destroy_property(X0,X1,T0)
