_Engage_in_symbolic_act(X0,X1,T1) <- Accuse(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Make_statement(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Threaten(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Demand(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Express_intent_to_meet_or_negotiate(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Praise_or_endorse(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Criticize_or_denounce(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Make_an_appeal_or_request(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Defy_norms,_law(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T1) <- Mobilize_or_increase_armed_forces(X0,X1,T0)
_Engage_in_symbolic_act(X0,X1,T2) <- Apologize(X0,X1,T0), Express_accord(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Acknowledge_or_claim_responsibility(X0,X1,T0), Deny_responsibility(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Grant_diplomatic_recognition(X0,X1,T0), Reduce_relations(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Declare_truce,_ceasefire(X0,X1,T0), Violate_ceasefire(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Host_a_visit(X0,X1,T0), Make_a_visit(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Discuss_by_telephone(X0,X1,T0), Meet_at_a_'third'_location(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Express_intent_to_cooperate(X0,X1,T0), Cooperate_economically(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Give_ultimatum(X0,X1,T0), Coerce(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Complain_officially(X0,X1,T0), Bring_lawsuit_against(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Make_empathetic_comment(X0,X1,T0), Make_optimistic_comment(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Make_pessimistic_comment(X0,X1,T0), Express_intent_to_yield(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Refuse_to_yield(X0,X1,T0), Reject(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Ban_political_parties_or_politicians(X0,X1,T0), Impose_state_of_emergency_or_martial_law(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Increase_military_alert_status(X0,X1,T0), Mobilize_or_increase_armed_forces(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Protest_violently,_riot(X0,X1,T0), Engage_in_violent_protest_for_rights(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Conduct_strike_or_boycott(X0,X1,T0), Conduct_hunger_strike(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Engage_in_political_dissent(X0,X1,T0), Demonstrate_or_rally(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Cooperate_militarily(X0,X1,T0), Engage_in_diplomatic_cooperation(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Share_intelligence_or_information(X0,X1,T0), Investigate(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Abduct,_hijack,_or_take_hostage(X0,X1,T0), Physically_assault(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Assassinate(X0,X1,T0), Attempt_to_assassinate(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Torture(X0,X1,T0), Sexually_assault(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Destroy_property(X0,X1,T0), Seize_or_damage_property(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Confiscate_property(X0,X1,T0), Expel_or_deport_individuals(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Engage_in_mass_killings(X0,X1,T0), Engage_in_mass_expulsion(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Detonate_nuclear_weapons(X0,X1,T0), Use_chemical,_biological,_or_radiological_weapons(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Employ_aerial_weapons(X0,X1,T0), fight_with_artillery_and_tanks(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Carry_out_roadside_bombing(X0,X1,T0), Carry_out_suicide_bombing(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Use_as_human_shield(X0,X1,T0), fight_with_small_arms_and_light_weapons(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Rally_opposition_against(X0,X1,T0), Rally_support_on_behalf_of(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Consider_policy_option(X0,X1,T0), Decline_comment(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Defend_verbally(X0,X1,T0), Forgive(X1,X2,T1)
_Engage_in_symbolic_act(X0,X1,T2) <- Return,_release_person(s)(X0,X1,T0), Return,_release_property(X1,X2,T1)
